vocab,elem,count
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#DatasetDescription,19
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Relationship,3
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,65
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,46
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Resource,18
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,25
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,39
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#TechnicalFeature,10
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,80
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#CatalogRecord,14
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Role,6
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,106
